Id,SpeakerName,Phrase,translation
1040402001,いろは,本当に、本当に来たんですね……！/n世界演劇リーグから、手紙が……！,真的，真的来了……！/n世界演剧联盟寄来了信……！
1040402002,叶羽,いやいや、嘘でしょ？/n今日ってエイプリルフールだったっけ？,才不是吧，绝对是假的吧？/n今天不是愚人节吗？
1040402003,要,何言ってんのよ……嘘じゃないわ。ほら。/n私も今日、ボスから見せられて度肝抜かれちゃった。,说什么呢……不是假的。看吧。/n我也是今天才在老大那看的，吓了一跳。
1040402004,電姫劇団員たち,「こ、これが……」「やばい、なんかありがたそ～」「とりあえず拝んどく？」/n「この紙触ったら、芝居が上手くなるバフとかあるかな？」,“这、这是……”“糟糕，感觉有点厉害了……““先拜一下？”/n“这个纸里会不会有什么buff？比如能提高演技？”
1040402005,蕾,ほう、確かに本物のようだな。差出人や住所も、偽りではなさそうだ。/nとなると、ついに我らも、歴代の名優たちに目を付けられたということか……。,嗯，看起来是真的。发件人和地址，似乎都不是假的。/n也就是说，我们终于被历代名演员看上了吗……。
1040402006,カミラ,でもなんで……ウチらみたいな劇団に？/nほら、さっきの話だと、もっとお堅い感じの人たちなんでしょ？,但是为什么……是像我们这种剧团？/n你看，刚才的那些话，不应该是更严肃的人吗？
1040402007,電姫劇団員たち,「クールジャパン……だからかな？」/n「審査部にも私たちの同志が居たんだよ……コスプレは世界を救うって」,“COOL Japan……什么的？”/n“审查部门肯定有我们的同志……Cosplay是救世的”
1040402008,叶羽,いや、どーゆーことよ。/nまぁ正直アタシにも、わけわかんないけど……。,才不是呢。/n不过说实话，我也不是很明白……。
1040402009,叶羽,強いて言うなら、演劇界隈を盛り上げるために、/n間口を広げようとでもしてるって感じじゃない？,非要说的话，是为了活跃演剧界，/n也许是想扩大受众范围吧？
1040402010,美兎,間口……？/n電姫みたいな、2.5次元をやる劇団のファン層を取り込むってこと……？,扩大受众……？/n是想吸引像电姬这种，主要做2.5次元剧团的粉丝吗？
1040402011,マチコ,それが近いだろうな。,大概是那样吧。
1040402012,電姫劇団員たち,わっ……ボス！？,哇……老大！？
1040402013,マチコ,今や、うちのような劇団は、海外からも支持され市場の拡大にも貢献している。/nそれでお偉いさん方も、無視し続けるって訳にはいかなくなったんだろう。,现在，像我们这样的剧团，不仅在海外受到支持，还在为市场的扩大做出贡献。/n所以那些大人物，可能已经无法忽视我们了。
1040402014,マチコ,……これまで電姫がやってきたことは、無駄じゃなかったってことさ。,……这说明，之前电姬所做的一切，都没有白费。
